username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
realDonaldTrump;2020-05-10 11:44;9074;36746;"A great man for Washington! Will Drain the Swamp!https://twitter.com/realDonaldTrump/status/1259149331761954822 …";;;;"1259449352201830400";https://twitter.com/realDonaldTrump/status/1259449352201830400
realDonaldTrump;2020-05-10 11:44;12355;60838;"So great to see our Country starting to open up again!https://twitter.com/TrumpGolfLA/status/1258808647280279552 …";;;;"1259449226465083394";https://twitter.com/realDonaldTrump/status/1259449226465083394
realDonaldTrump;2020-05-10 11:04;21849;77356;"...And we caught them and their illegal activities!https://twitter.com/Jim_Jordan/status/1259166410753933313 …";;;;"1259439270818992128";https://twitter.com/realDonaldTrump/status/1259439270818992128
realDonaldTrump;2020-05-10 04:02;24854;65966;"pic.twitter.com/iIaEP3Kxek";;;;"1259333049738760193";https://twitter.com/realDonaldTrump/status/1259333049738760193
realDonaldTrump;2020-05-10 03:46;21479;55522;"pic.twitter.com/mjBMIphWZi";;;;"1259328864859422723";https://twitter.com/realDonaldTrump/status/1259328864859422723
realDonaldTrump;2020-05-10 03:45;10436;32145;"pic.twitter.com/lpSqOaF7OY";;;;"1259328777877889025";https://twitter.com/realDonaldTrump/status/1259328777877889025
realDonaldTrump;2020-05-10 03:45;12270;35298;"pic.twitter.com/26WfywGv9l";;;;"1259328621371678725";https://twitter.com/realDonaldTrump/status/1259328621371678725
realDonaldTrump;2020-05-10 03:44;9287;29599;"pic.twitter.com/y4KUoaY0C8";;;;"1259328451456258051";https://twitter.com/realDonaldTrump/status/1259328451456258051
realDonaldTrump;2020-05-09 20:17;16769;45797;"pic.twitter.com/8tXzxXrQl2";;;;"1259215842237177858";https://twitter.com/realDonaldTrump/status/1259215842237177858
realDonaldTrump;2020-05-09 20:16;12253;38608;"https://thefederalist.com/2020/05/08/rep-jim-jordan-a-look-back-on-the-russia-mueller-and-flynn-investigations/ …";;;;"1259215629120389121";https://twitter.com/realDonaldTrump/status/1259215629120389121
realDonaldTrump;2020-05-09 20:15;22110;61598;"https://thefederalist.com/2020/05/08/obama-biden-oval-office-meeting-on-january-5-was-key-to-entire-anti-trump-operation/ …";;;;"1259215531153993729";https://twitter.com/realDonaldTrump/status/1259215531153993729
realDonaldTrump;2020-05-09 19:14;29106;86002;"Governor @GavinNewsom of California won’t let restaurants, beaches and stores open, but he installs a voting booth system in a highly Democrat area (supposed to be mail in ballots only) because our great candidate, @MikeGarcia2020, is winning by a lot. CA25 Rigged Election!";;@GavinNewsom @MikeGarcia2020;;"1259200118714183680";https://twitter.com/realDonaldTrump/status/1259200118714183680
realDonaldTrump;2020-05-09 19:06;31590;115635;"Starting early next week, at my order, the USA will be purchasing, from our Farmers, Ranchers & Specialty Crop Growers, 3 Billion Dollars worth of Dairy, Meat & Produce for Food Lines & Kitchens. “FARMERS TO FAMILY FOOD BOX” Great news for all! @SecretarySonny @ZippyDuvall";;@SecretarySonny @ZippyDuvall;;"1259198107029508096";https://twitter.com/realDonaldTrump/status/1259198107029508096
realDonaldTrump;2020-05-09 18:51;27060;129331;"Why is it that all of the political pundits & consultants that I beat so easily & badly, people that charged their clients far more than their services were worth, have become so totally “unhinged” when it come to your favorite President, me. These people are stone cold crazy!";;;;"1259194224555298816";https://twitter.com/realDonaldTrump/status/1259194224555298816
realDonaldTrump;2020-05-09 18:07;14682;53612;"...And many more!https://twitter.com/madisongesiotto/status/1258580225060896774 …";;;;"1259183305301340163";https://twitter.com/realDonaldTrump/status/1259183305301340163
realDonaldTrump;2020-05-09 16:28;18848;62816;"pic.twitter.com/66006PDuKf";;;;"1259158370390544384";https://twitter.com/realDonaldTrump/status/1259158370390544384
realDonaldTrump;2020-05-09 16:17;22590;74016;"CA25 is a Rigged Election. Trying to steal it from @MikeGarcia2020. @GavinNewsom must act now!";;@MikeGarcia2020 @GavinNewsom;;"1259155620713975810";https://twitter.com/realDonaldTrump/status/1259155620713975810
realDonaldTrump;2020-05-09 16:09;38560;205691;"TRANSITION TO GREATNESS!";;;;"1259153410756153350";https://twitter.com/realDonaldTrump/status/1259153410756153350
